Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	cGMP Biosynthetic Process (GO:0006182)	2/9	3.065806e-05	2.294245e-04	0	0	3.356975e+02	3.488775e+03	NPPB;NPPA
GO_Biological_Process_2023	Calcium Ion Transport Into Cytosol (GO:0060402)	2/9	3.065806e-05	2.294245e-04	0	0	3.356975e+02	3.488775e+03	RYR2;CACNA1C
GO_Biological_Process_2023	Receptor Guanylyl Cyclase Signaling Pathway (GO:0007168)	2/9	3.065806e-05	2.294245e-04	0	0	3.356975e+02	3.488775e+03	NPPB;NPPA
GO_Biological_Process_2023	Muscle Cell Fate Commitment (GO:0042693)	2/9	3.065806e-05	2.294245e-04	0	0	3.356975e+02	3.488775e+03	MEF2C;MYL2
GO_Biological_Process_2023	Atrial Septum Morphogenesis (GO:0060413)	2/10	3.830095e-05	2.819201e-04	0	0	2.937206e+02	2.987149e+03	GATA4;NKX2-5
GO_Biological_Process_2023	cGMP Metabolic Process (GO:0046068)	2/11	4.678584e-05	3.334419e-04	0	0	2.610719e+02	2.602869e+03	NPPB;NPPA
GO_Biological_Process_2023	Regulation Of Ventricular Cardiac Muscle Cell Action Potential (GO:0098911)	2/11	4.678584e-05	3.334419e-04	0	0	2.610719e+02	2.602869e+03	RYR2;CACNA1C
GO_Biological_Process_2023	Actomyosin Structure Organization (GO:0031032)	3/77	5.085723e-05	3.567953e-04	0	0	5.044003e+01	4.986748e+02	TNNT2;MYH6;MYH7
GO_Biological_Process_2023	Positive Regulation Of Sodium Ion Transport (GO:0010765)	2/12	5.611129e-05	3.760294e-04	0	0	2.349529e+02	2.299760e+03	SCN5A;NKX2-5
GO_Biological_Process_2023	Atrial Cardiac Muscle Cell Action Potential (GO:0086014)	2/12	5.611129e-05	3.760294e-04	0	0	2.349529e+02	2.299760e+03	CACNA1C;SCN5A
GO_Biological_Process_2023	Cardiac Right Ventricle Morphogenesis (GO:0003215)	2/12	5.611129e-05	3.760294e-04	0	0	2.349529e+02	2.299760e+03	GATA4;NKX2-5
GO_Biological_Process_2023	Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)	3/83	6.365036e-05	4.202796e-04	0	0	4.664297e+01	4.506693e+02	RYR2;CACNA1C;SCN5A
GO_Biological_Process_2023	Atrial Septum Development (GO:0003283)	2/13	6.627587e-05	4.251124e-04	0	0	2.135829e+02	2.055027e+03	GATA4;NKX2-5
GO_Biological_Process_2023	Cardiac Left Ventricle Morphogenesis (GO:0003214)	2/13	6.627587e-05	4.251124e-04	0	0	2.135829e+02	2.055027e+03	RYR2;TBX5
GO_Biological_Process_2023	Calcium-Mediated Signaling (GO:0019722)	3/85	6.834066e-05	4.321825e-04	0	0	4.550076e+01	4.363981e+02	RYR2;TNNI3;CACNA1C
GO_Biological_Process_2023	Cardiac Cell Development (GO:0055006)	2/14	7.727816e-05	4.688904e-04	0	0	1.957745e+02	1.853612e+03	NKX2-5;MYH6
GO_Biological_Process_2023	Response To Muscle Stretch (GO:0035994)	2/14	7.727816e-05	4.688904e-04	0	0	1.957745e+02	1.853612e+03	RYR2;NPPA
GO_Biological_Process_2023	Negative Regulation Of Blood Pressure (GO:0045776)	2/14	7.727816e-05	4.688904e-04	0	0	1.957745e+02	1.853612e+03	NPPB;NPPA
GO_Biological_Process_2023	Regulation Of Systemic Arterial Blood Pressure (GO:0003073)	2/15	8.911670e-05	5.335120e-04	0	0	1.807059e+02	1.685184e+03	NPPB;NPPA
GO_Biological_Process_2023	Negative Regulation Of ATP-dependent Activity (GO:0032780)	2/16	1.017901e-04	5.935552e-04	0	0	1.677899e+02	1.542425e+03	TNNT2;TNNI3
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881)	2/16	1.017901e-04	5.935552e-04	0	0	1.677899e+02	1.542425e+03	RYR2;CACNA1C
GO_Biological_Process_2023	Positive Regulation Of Heart Rate (GO:0010460)	2/17	1.152969e-04	6.313207e-04	0	0	1.565961e+02	1.420013e+03	RYR2;NPPA
GO_Biological_Process_2023	Ventricular Cardiac Muscle Cell Action Potential (GO:0086005)	2/17	1.152969e-04	6.313207e-04	0	0	1.565961e+02	1.420013e+03	RYR2;SCN5A
GO_Biological_Process_2023	Positive Regulation Of Stem Cell Differentiation (GO:2000738)	2/17	1.152969e-04	6.313207e-04	0	0	1.565961e+02	1.420013e+03	TBX5;NKX2-5
GO_Biological_Process_2023	cGMP-mediated Signaling (GO:0019934)	2/17	1.152969e-04	6.313207e-04	0	0	1.565961e+02	1.420013e+03	NPPB;NPPA
GO_Biological_Process_2023	Embryonic Heart Tube Development (GO:0035050)	2/17	1.152969e-04	6.313207e-04	0	0	1.565961e+02	1.420013e+03	RYR2;NKX2-5
GO_Biological_Process_2023	Inorganic Cation Import Across Plasma Membrane (GO:0098659)	3/103	1.210519e-04	6.548468e-04	0	0	3.727687e+01	3.362110e+02	CACNA1C;SCN5A;KCNJ2
GO_Biological_Process_2023	Cyclic Nucleotide Biosynthetic Process (GO:0009190)	2/19	1.448050e-04	7.649109e-04	0	0	1.381592e+02	1.221344e+03	NPPB;NPPA
GO_Biological_Process_2023	Skeletal Muscle Contraction (GO:0003009)	2/19	1.448050e-04	7.649109e-04	0	0	1.381592e+02	1.221344e+03	TNNI3;MYH7
GO_Biological_Process_2023	Regulation Of Membrane Depolarization (GO:0003254)	2/20	1.608034e-04	8.298934e-04	0	0	1.304771e+02	1.139760e+03	SCN5A;TBX5
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Cell Proliferation (GO:0060043)	2/20	1.608034e-04	8.298934e-04	0	0	1.304771e+02	1.139760e+03	MEF2C;TBX5
GO_Biological_Process_2023	Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880)	2/22	1.952820e-04	9.851867e-04	0	0	1.174176e+02	1.002872e+03	RYR2;CACNA1C
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Cell Membrane Repolarization (GO:0099623)	2/22	1.952820e-04	9.851867e-04	0	0	1.174176e+02	1.002872e+03	NPPA;SCN5A
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)	2/28	3.184694e-04	1.588808e-03	0	0	9.029412e+01	7.270468e+02	RYR2;CACNA1C
GO_Biological_Process_2023	Regulation Of Muscle Contraction (GO:0006937)	2/29	3.418662e-04	1.686790e-03	0	0	8.694553e+01	6.939202e+02	MYL2;MYL3
GO_Biological_Process_2023	Purine Ribonucleoside Triphosphate Metabolic Process (GO:0009205)	2/32	4.169409e-04	2.012973e-03	0	0	7.823922e+01	6.089019e+02	MYH6;MYH7
GO_Biological_Process_2023	Muscle Cell Development (GO:0055001)	2/32	4.169409e-04	2.012973e-03	0	0	7.823922e+01	6.089019e+02	NKX2-5;MYH6
GO_Biological_Process_2023	Epithelial Tube Morphogenesis (GO:0060562)	2/33	4.435893e-04	2.096543e-03	0	0	7.571157e+01	5.845397e+02	RYR2;MEF2C
GO_Biological_Process_2023	Vasculogenesis (GO:0001570)	2/33	4.435893e-04	2.096543e-03	0	0	7.571157e+01	5.845397e+02	TNNI3;NKX2-5
GO_Biological_Process_2023	ATP Metabolic Process (GO:0046034)	2/34	4.710470e-04	2.158164e-03	0	0	7.334191e+01	5.618396e+02	MYH6;MYH7
GO_Biological_Process_2023	Regulation Of Blood Circulation (GO:1903522)	2/34	4.710470e-04	2.158164e-03	0	0	7.334191e+01	5.618396e+02	TNNT2;MYH6
GO_Biological_Process_2023	Embryonic Limb Morphogenesis (GO:0030326)	2/34	4.710470e-04	2.158164e-03	0	0	7.334191e+01	5.618396e+02	CACNA1C;TBX5
GO_Biological_Process_2023	Action Potential (GO:0001508)	2/35	4.993126e-04	2.241914e-03	0	0	7.111586e+01	5.406426e+02	SCN5A;KCNJ2
GO_Biological_Process_2023	Regulation Of Sodium Ion Transport (GO:0002028)	2/35	4.993126e-04	2.241914e-03	0	0	7.111586e+01	5.406426e+02	SCN5A;NKX2-5
GO_Biological_Process_2023	Metal Ion Transport (GO:0030001)	3/171	5.380516e-04	2.391932e-03	0	0	2.211272e+01	1.664548e+02	RYR2;SCN5A;KCNJ2
GO_Biological_Process_2023	Neuron Differentiation (GO:0030182)	3/173	5.565980e-04	2.433590e-03	0	0	2.185037e+01	1.637394e+02	MEF2C;HAND2;IRX4
GO_Biological_Process_2023	Calcium Ion Import Across Plasma Membrane (GO:0098703)	2/37	5.582623e-04	2.433590e-03	0	0	6.704538e+01	5.022156e+02	CACNA1C;SCN5A
GO_Biological_Process_2023	Positive Regulation Of Monoatomic Ion Transport (GO:0043270)	2/40	6.527118e-04	2.791120e-03	0	0	6.174303e+01	4.528466e+02	SCN5A;NKX2-5
GO_Biological_Process_2023	Cyclic-Nucleotide-Mediated Signaling (GO:0019935)	2/40	6.527118e-04	2.791120e-03	0	0	6.174303e+01	4.528466e+02	NPPB;NPPA
GO_Biological_Process_2023	Positive Regulation Of Neuron Differentiation (GO:0045666)	2/42	7.196786e-04	3.048450e-03	0	0	5.865000e+01	4.244328e+02	MEF2C;NKX2-5
GO_Biological_Process_2023	Intracellular Monoatomic Cation Homeostasis (GO:0030003)	3/190	7.309943e-04	3.067443e-03	0	0	1.984693e+01	1.433167e+02	RYR2;TNNI3;KCNJ2
GO_Biological_Process_2023	Blood Vessel Morphogenesis (GO:0048514)	2/53	1.144674e-03	4.758877e-03	0	0	4.597463e+01	3.113694e+02	TNNI3;NKX2-5
GO_Biological_Process_2023	Purine Ribonucleotide Biosynthetic Process (GO:0009152)	2/55	1.232162e-03	5.075603e-03	0	0	4.423529e+01	2.963316e+02	NPPB;NPPA
GO_Biological_Process_2023	Muscle Organ Development (GO:0007517)	2/58	1.369233e-03	5.588959e-03	0	0	4.185924e+01	2.759991e+02	MEF2C;MYH6
GO_Biological_Process_2023	Heart Morphogenesis (GO:0003007)	2/59	1.416475e-03	5.678546e-03	0	0	4.112281e+01	2.697485e+02	RYR2;NKX2-5
GO_Biological_Process_2023	Chordate Embryonic Development (GO:0043009)	2/59	1.416475e-03	5.678546e-03	0	0	4.112281e+01	2.697485e+02	NKX2-5;MYH6
GO_Biological_Process_2023	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	5/938	1.505350e-03	5.981436e-03	0	0	7.291380e+00	4.738470e+01	MEF2C;HAND2;GATA4;TBX5;NKX2-5
GO_Biological_Process_2023	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	4/557	1.653189e-03	6.511243e-03	0	0	9.368535e+00	6.000593e+01	MEF2C;GATA4;TBX5;NKX2-5
GO_Biological_Process_2023	Neuropeptide Signaling Pathway (GO:0007218)	2/68	1.876299e-03	7.325724e-03	0	0	3.549911e+01	2.228795e+02	NPPB;NPPA
GO_Biological_Process_2023	Cellular Response To Calcium Ion (GO:0071277)	2/69	1.931216e-03	7.475137e-03	0	0	3.496752e+01	2.185332e+02	MEF2C;SCN5A
GO_Biological_Process_2023	Gland Development (GO:0048732)	2/74	2.217173e-03	8.508639e-03	0	0	3.253105e+01	1.988142e+02	HAND2;NKX2-5
GO_Biological_Process_2023	Monoatomic Cation Transmembrane Transport (GO:0098655)	3/281	2.250588e-03	8.563677e-03	0	0	1.328889e+01	8.101659e+01	CACNA1C;SCN5A;KCNJ2
GO_Biological_Process_2023	Inorganic Cation Transmembrane Transport (GO:0098662)	3/284	2.319528e-03	8.751831e-03	0	0	1.314502e+01	7.974283e+01	CACNA1C;SCN5A;KCNJ2
GO_Biological_Process_2023	Regulation Of Neuron Differentiation (GO:0045664)	2/79	2.521966e-03	9.436355e-03	0	0	3.041100e+01	1.819404e+02	MEF2C;NKX2-5
GO_Biological_Process_2023	Purine Ribonucleotide Metabolic Process (GO:0009150)	2/84	2.845427e-03	1.055865e-02	0	0	2.854950e+01	1.673584e+02	MYH6;MYH7
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	3/310	2.972639e-03	1.094029e-02	0	0	1.201588e+01	6.991205e+01	MEF2C;HAND2;GATA4
GO_Biological_Process_2023	Calcium Ion Homeostasis (GO:0055074)	2/102	4.161930e-03	1.519273e-02	0	0	2.338941e+01	1.282155e+02	RYR2;TNNI3
GO_Biological_Process_2023	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	3/364	4.665730e-03	1.565356e-02	0	0	1.019044e+01	5.469731e+01	MEF2C;ACTC1;HAND2
GO_Biological_Process_2023	Cellular Response To Salt (GO:1902075)	2/109	4.737033e-03	1.565356e-02	0	0	2.185157e+01	1.169571e+02	MEF2C;SCN5A
GO_Biological_Process_2023	Positive Regulation Of Gap Junction Assembly (GO:1903598)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	TBX5
GO_Biological_Process_2023	Striated Muscle Hypertrophy (GO:0014897)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	RYR2
GO_Biological_Process_2023	Ventricular Cardiac Muscle Cell Development (GO:0055015)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	NKX2-5
GO_Biological_Process_2023	Regulation Of Macrophage Apoptotic Process (GO:2000109)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	MEF2C
GO_Biological_Process_2023	Nephron Tubule Development (GO:0072080)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	MEF2C
GO_Biological_Process_2023	Positive Regulation Of Urine Volume (GO:0035810)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	NPPB
GO_Biological_Process_2023	Regulation Of Renal Sodium Excretion (GO:0035813)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	NPPB
GO_Biological_Process_2023	Regulation Of Resting Membrane Potential (GO:0060075)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	KCNJ2
GO_Biological_Process_2023	Regulation Of Ventricular Cardiac Muscle Cell Membrane Depolarization (GO:0060373)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	SCN5A
GO_Biological_Process_2023	Positive Regulation Of Cardiac Muscle Cell Differentiation (GO:2000727)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	MEF2C
GO_Biological_Process_2023	Negative Regulation Of Cardiac Muscle Tissue Growth (GO:0055022)	1/5	4.741392e-03	1.565356e-02	0	0	2.774583e+02	1.484797e+03	TBX5
GO_Biological_Process_2023	Calcium Ion Transport (GO:0006816)	2/112	4.994149e-03	1.636768e-02	0	0	2.125241e+01	1.126269e+02	RYR2;CACNA1C
GO_Biological_Process_2023	Positive Regulation Of DNA-templated Transcription (GO:0045893)	5/1243	5.137215e-03	1.636869e-02	0	0	5.407051e+00	2.850188e+01	MEF2C;HAND2;GATA4;TBX5;NKX2-5
GO_Biological_Process_2023	Epithelial Cell Differentiation Involved In Kidney Development (GO:0035850)	1/6	5.687116e-03	1.636869e-02	0	0	2.219556e+02	1.147411e+03	MEF2C
GO_Biological_Process_2023	AV Node Cell Action Potential (GO:0086016)	1/6	5.687116e-03	1.636869e-02	0	0	2.219556e+02	1.147411e+03	SCN5A
GO_Biological_Process_2023	AV Node Cell To Bundle Of His Cell Communication (GO:0086067)	1/6	5.687116e-03	1.636869e-02	0	0	2.219556e+02	1.147411e+03	SCN5A
GO_Biological_Process_2023	SA Node Cell Action Potential (GO:0086015)	1/6	5.687116e-03	1.636869e-02	0	0	2.219556e+02	1.147411e+03	SCN5A
GO_Biological_Process_2023	Positive Regulation Of Striated Muscle Contraction (GO:0045989)	1/6	5.687116e-03	1.636869e-02	0	0	2.219556e+02	1.147411e+03	NPPA
GO_Biological_Process_2023	Atrioventricular Valve Formation (GO:0003190)	1/6	5.687116e-03	1.636869e-02	0	0	2.219556e+02	1.147411e+03	GATA4
GO_Biological_Process_2023	Noradrenergic Neuron Differentiation (GO:0003357)	1/6	5.687116e-03	1.636869e-02	0	0	2.219556e+02	1.147411e+03	HAND2
GO_Biological_Process_2023	Norepinephrine Biosynthetic Process (GO:0042421)	1/6	5.687116e-03	1.636869e-02	0	0	2.219556e+02	1.147411e+03	HAND2
