target_chembl_id,gene_symbol,compound_chembl_id,compound_name,standard_value,standard_type,is_approved_drug,canonical_smiles,pchembl_value
CHEMBL1940,CACNA1C,CHEMBL104455,,4.11,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1cccc2ccccc12,8.39
CHEMBL1940,CACNA1C,CHEMBL317651,,20.2,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1ccc2ccccc2c1,7.7
CHEMBL1940,CACNA1C,CHEMBL104082,,18.2,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1ccc(-c2ccccc2)cc1,7.74
CHEMBL1940,CACNA1C,CHEMBL323782,,22.9,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1ccccc1,7.64
CHEMBL1940,CACNA1C,CHEMBL107213,,72.9,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(-c2ccccc2)noc1CCc1ccccc1,7.14
CHEMBL1940,CACNA1C,CHEMBL105893,,91.1,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1ccccc1-c1ccccc1,7.04
CHEMBL1940,CACNA1C,CHEMBL2114104,,28.5,Ki,0,[2H]C1(c2c(C)noc2C)C(C(=O)OCC)=C(C)NC(C)=C1C(=O)OCC,7.54
CHEMBL2095229,CACNA1C,CHEMBL73647,,173.0,Ki,0,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1c(C)noc1C,6.76
CHEMBL2095229,CACNA1C,CHEMBL305903,,21.7,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(-c2ccccc2)noc1C,7.66
CHEMBL2095229,CACNA1C,CHEMBL75770,,254.0,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(-c2ccccc2)noc1C(C)C,6.59
CHEMBL2095229,CACNA1C,CHEMBL72717,,78.4,Ki,0,CCCCCc1onc(-c2ccccc2)c1C1C(C(=O)OCC)=C(C)N=C(C)/C1=C(/O)OCC,7.11
CHEMBL2095229,CACNA1C,CHEMBL72620,,62.5,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CC,7.2
CHEMBL2095229,CACNA1C,CHEMBL74944,,32.8,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1C,7.48
CHEMBL2095229,CACNA1C,CHEMBL2092901,,2.0,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1,8.7
CHEMBL2095229,CACNA1C,CHEMBL88449,,270.0,IC50,0,CCO/C(O)=C1\C(C)=NC(=S)N(C(=O)N(C)C)C1c1cccc([N+](=O)[O-])c1,6.57
CHEMBL2095229,CACNA1C,CHEMBL3392282,,4.0,IC50,0,CCOC(=O)C1=C(C)NC(SCC)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,8.4
CHEMBL2095229,CACNA1C,CHEMBL3392280,,26.0,IC50,0,CCOC(=O)C1=C(C)NC(OCC)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,7.58
CHEMBL2095229,CACNA1C,CHEMBL440695,,17.0,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1cccc([N+](=O)[O-])c1,7.77
CHEMBL2095229,CACNA1C,CHEMBL87921,,26.0,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1ccccc1C(F)(F)F,7.58
CHEMBL2095229,CACNA1C,CHEMBL261982,,50.0,IC50,0,CCCN1C(S)=NC(C)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,7.3
CHEMBL2095229,CACNA1C,CHEMBL267014,L-745870,9000.0,IC50,0,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5.05
CHEMBL1980,SCN5A,CHEMBL106610,,3600.0,IC50,0,Cc1ccc(C(=O)NC(=N)NCCCCCc2ccccc2)cc1,5.44
CHEMBL1980,SCN5A,CHEMBL110572,,4100.0,IC50,0,N=C(NCCCCc1ccccc1)NC(=O)c1cccc2ccccc12,5.39
CHEMBL1980,SCN5A,CHEMBL432963,,9000.0,IC50,0,CCCC/N=C(/N)NC(=O)c1ccc(C)cc1,5.05
CHEMBL1980,SCN5A,CHEMBL109012,,2710.0,IC50,0,N=C(NCCCCc1ccccc1)NC(=O)c1cccc(Cl)c1Cl,5.57
CHEMBL1980,SCN5A,CHEMBL431643,,7890.0,IC50,0,N=C(NCCCCc1ccccc1)NC(=O)c1cc(Cl)ccc1Cl,5.1
CHEMBL1980,SCN5A,CHEMBL105929,,4500.0,IC50,0,Cc1ccc(C(=O)N/C(N)=N\c2ccccc2C(C)C)cc1,5.35
CHEMBL1980,SCN5A,CHEMBL108347,,560.0,IC50,0,CCCCOc1ccc(C(=O)NC(=N)NCCCCc2ccccc2)cc1,6.25
CHEMBL1980,SCN5A,CHEMBL107354,,5650.0,IC50,0,Cc1ccc(C(=O)NC(=N)NCCc2ccccc2)cc1,5.25
CHEMBL1980,SCN5A,CHEMBL108782,,5600.0,IC50,0,Cc1ccc(C(=O)NC(=N)NCCCOc2ccccc2)cc1,5.25
CHEMBL1980,SCN5A,CHEMBL106459,,1750.0,IC50,0,Cc1ccccc1C(=O)NC(=N)NCCCCc1ccccc1,5.76
CHEMBL1980,SCN5A,CHEMBL108627,,8850.0,IC50,0,Cc1ccc(C(=O)NC(=N)NCc2cccc3ccccc23)cc1,5.05
CHEMBL1980,SCN5A,CHEMBL110164,,1510.0,IC50,0,COc1cc(C(=O)NC(=N)NCCCCc2ccccc2)cc(OC)c1OC,5.82
CHEMBL1980,SCN5A,CHEMBL322599,,3600.0,IC50,0,N=C(NCCCCc1ccccc1)NC(=O)c1ccc(Cl)cc1,5.44
CHEMBL1980,SCN5A,CHEMBL322055,,9000.0,IC50,0,C/N=C(\NCCCCc1ccccc1)NC(=O)c1ccc(C)cc1,5.05
CHEMBL1980,SCN5A,CHEMBL110352,,5400.0,IC50,0,N=C(NCCCCc1ccccc1)NC(=O)c1c(Cl)cccc1Cl,5.27
CHEMBL1980,SCN5A,CHEMBL421032,,1760.0,IC50,0,COc1ccc2[nH]cc(CC/N=C(/N)NC(=O)c3ccc(C)cc3)c2c1,5.75
CHEMBL1980,SCN5A,CHEMBL105997,,5250.0,IC50,0,Cc1ccc(C(=O)NC(=N)NCCCc2ccccc2)cc1,5.28
CHEMBL1980,SCN5A,CHEMBL320332,,8500.0,IC50,0,Cc1ccc(C(=O)NC(=N)NCCc2ccc(Cl)cc2)cc1,5.07
CHEMBL1980,SCN5A,CHEMBL106351,,5750.0,IC50,0,Cc1ccc(C(=O)NC(=N)Nc2ccc(OC(C)C)cc2)cc1,5.24
CHEMBL1980,SCN5A,CHEMBL320314,,3920.0,IC50,0,COc1cccc2[nH]cc(CC/N=C(/N)NC(=O)c3ccc(C)cc3)c12,5.41
CHEMBL1980,SCN5A,CHEMBL321883,,2100.0,IC50,0,COc1ccc(C(=O)NC(=N)NCCCCc2ccccc2)cc1,5.68
CHEMBL1980,SCN5A,CHEMBL108361,,2350.0,IC50,0,N=C(NCCCCc1ccccc1)NC(=O)c1cccs1,5.63
CHEMBL1980,SCN5A,CHEMBL108728,,2850.0,IC50,0,Cc1ccc(C(=O)NC(=N)NCCCCc2ccccc2)cc1,5.54
CHEMBL1980,SCN5A,CHEMBL108727,,1100.0,IC50,0,CCOc1ccc(C(=O)NC(=N)NCCCCc2ccccc2)cc1,5.96
CHEMBL1980,SCN5A,CHEMBL109127,,7900.0,IC50,0,N=C(NCCCCc1ccccc1)NC(=O)c1ccco1,5.1
CHEMBL1940,CACNA1C,CHEMBL3392229,,270.0,IC50,0,CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12,6.57
CHEMBL1940,CACNA1C,CHEMBL3392227,,250.0,IC50,0,CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccccc1,6.6
CHEMBL1940,CACNA1C,CHEMBL3392230,,100.0,IC50,0,CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccc2ccccc2c1,7.0
CHEMBL1940,CACNA1C,CHEMBL279029,,1520.0,Kd,0,COC(=O)C1=C(C)N=C(SC)NC1c1ccccc1SC,5.82
CHEMBL1940,CACNA1C,CHEMBL25763,,873.0,Kd,0,CSC1=NC2/C(=C(/O)OCCCCCSc3ccc([N+](=O)[O-])cc32)C(C)=N1,6.06
CHEMBL1940,CACNA1C,CHEMBL23451,,2700.0,Kd,0,COC(=O)C1=C(C)N=C(SC)NC1c1cc([N+](=O)[O-])ccc1SC,5.57
CHEMBL1940,CACNA1C,CHEMBL280926,,30.0,Kd,0,COC(=O)C1=C(C)N=C(SC)NC1c1cccc([N+](=O)[O-])c1SC,7.52
CHEMBL1940,CACNA1C,CHEMBL23692,,5.0,Kd,0,CSC1=NC2/C(=C(/O)OCCCCCSc3c2cccc3[N+](=O)[O-])C(C)=N1,8.3
CHEMBL1940,CACNA1C,CHEMBL193,NIFEDIPINE,0.4,Kd,1,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],9.4
CHEMBL1940,CACNA1C,CHEMBL283013,,18.0,Kd,0,CO/C(O)=C1\C(C)=NC(C)=C([N+](=O)[O-])[C@H]1c1ccccc1C(F)(F)F,7.75
CHEMBL1940,CACNA1C,CHEMBL282706,,18.0,Kd,0,CSC1=NC2/C(=C(/O)OCCCCCSc3ccccc32)C(C)=N1,7.75
CHEMBL1940,CACNA1C,CHEMBL2110303,,500.0,Ki,0,CCOC(=O)[C@@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1ccccc12,6.3
CHEMBL1940,CACNA1C,CHEMBL2110169,,650.0,Ki,0,CCOC(=O)[C@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1ccc([N+](=O)[O-])cc12,6.19
CHEMBL1940,CACNA1C,CHEMBL161165,,80.0,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1cc([N+](=O)[O-])ccc1SC,7.1
CHEMBL1940,CACNA1C,CHEMBL2110302,,30.0,Ki,0,CCOC(=O)[C@@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1ccc([N+](=O)[O-])cc12,7.52
CHEMBL1940,CACNA1C,CHEMBL2110170,,5000.0,Ki,0,CCOC(=O)[C@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1ccccc12,5.3
CHEMBL1940,CACNA1C,CHEMBL2110168,,250.0,Ki,0,CCOC(=O)[C@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1c2cccc1[N+](=O)[O-],6.6
CHEMBL1940,CACNA1C,CHEMBL2110298,,3000.0,Ki,0,CCOC(=O)[C@@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1cc([N+](=O)[O-])ccc12,5.52
CHEMBL1940,CACNA1C,CHEMBL2110167,,5000.0,Ki,0,CCOC(=O)[C@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1cc([N+](=O)[O-])ccc12,5.3
CHEMBL1940,CACNA1C,CHEMBL2110301,,6000.0,Ki,0,CCOC(=O)[C@@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1c2cccc1[N+](=O)[O-],5.22
CHEMBL1940,CACNA1C,CHEMBL159854,,1.0,Ki,0,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1cccc([N+](=O)[O-])c1SC,9.0
CHEMBL2095229,CACNA1C,CHEMBL102826,,5300.0,IC50,0,O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,5.28
CHEMBL2095229,CACNA1C,CHEMBL20896,,2700.0,IC50,0,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,5.57
CHEMBL2095229,CACNA1C,CHEMBL116735,,4300.0,IC50,0,O=C(CCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.37
CHEMBL2095229,CACNA1C,CHEMBL116463,,284.0,IC50,0,N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,6.55
CHEMBL2095229,CACNA1C,CHEMBL326263,,1720.0,IC50,0,N#Cc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.76
CHEMBL2095229,CACNA1C,CHEMBL113956,,860.0,IC50,0,CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,6.07
CHEMBL2095229,CACNA1C,CHEMBL115280,,552.0,IC50,0,O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,6.26
CHEMBL2095229,CACNA1C,CHEMBL117537,,2350.0,IC50,0,O=C(CCCc1ccccc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.63
CHEMBL2095229,CACNA1C,CHEMBL420499,,4840.0,IC50,0,COc1ccc(CN2CCN(C(=O)CCn3cc(C)c4ccccc43)CC2)cc1OCc1ccccc1,5.32
CHEMBL2095229,CACNA1C,CHEMBL325516,,2730.0,IC50,0,O=C(OCCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.56
CHEMBL2095229,CACNA1C,CHEMBL115652,,1110.0,IC50,0,O=C1NCN(c2ccccc2)C12CCN(Cc1cc3c(cc1Cl)OCO3)CC2,5.96
CHEMBL2095229,CACNA1C,CHEMBL16192,CP-96345,240.0,IC50,0,COc1ccccc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,6.62
CHEMBL2095229,CACNA1C,CHEMBL56427,,980.0,IC50,0,Cc1cc(C)cc(COC[C@H](C(c2ccccc2)c2ccccc2)N(C)C)c1,6.01
CHEMBL2095229,CACNA1C,CHEMBL53901,,5500.0,IC50,0,Cc1cc(C)cc(COCC(NCC(N)=O)C(c2ccccc2)c2ccccc2)c1,5.26
CHEMBL2095229,CACNA1C,CHEMBL56038,,1670.0,IC50,0,NC(=O)CN[C@H](COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(c1ccccc1)c1ccccc1,5.78
CHEMBL2095229,CACNA1C,CHEMBL420863,,1710.0,IC50,0,Cc1ccc2nc(O)n(C3CCN(Cc4cc5c(cc4Cl)OCO5)CC3)c2c1,5.77
CHEMBL2095229,CACNA1C,CHEMBL114484,,1340.0,IC50,0,Cc1ccc(CN2CCC(n3c(O)nc4ccccc43)CC2)c(Cl)c1,5.87
CHEMBL2095229,CACNA1C,CHEMBL92818,,580.0,IC50,0,N[C@H](COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1,6.24
CHEMBL2095229,CACNA1C,CHEMBL329105,,2300.0,IC50,0,NC(=O)CN[C@H](COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1,5.64
CHEMBL2095229,CACNA1C,CHEMBL329897,,1.5,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1cccc(Cl)c1Cl,8.82
CHEMBL2095229,CACNA1C,CHEMBL330707,,14.0,IC50,0,CCO/C(O)=C1\C(C)=NC(=S)N(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,7.85
CHEMBL2095229,CACNA1C,CHEMBL315125,,11.0,IC50,0,CCO/C(O)=C1\C(C)=NC(=S)N(C(=O)c2ccc(OC)cc2)C1c1cccc([N+](=O)[O-])c1,7.96
CHEMBL2095229,CACNA1C,CHEMBL89049,,2.6,IC50,0,CCOC(=O)N1C(=O)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,8.59
CHEMBL2095229,CACNA1C,CHEMBL1907867,,1500.0,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OC(C)C)[C@@H]1c1cccc([N+](=O)[O-])c1,5.82
CHEMBL2095229,CACNA1C,CHEMBL86415,,3.1,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1ccccc1[N+](=O)[O-],8.51
CHEMBL2095229,CACNA1C,CHEMBL89174,,140.0,IC50,0,CCOC(=O)C1=C(C)NC(=O)N(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,6.85
CHEMBL2095229,CACNA1C,CHEMBL89175,,5.2,IC50,0,CCOC(=O)C1=C(C)N=C(S)N(S(=O)(=O)c2ccccc2)C1c1cccc([N+](=O)[O-])c1,8.28
CHEMBL2095229,CACNA1C,CHEMBL89256,,160.0,IC50,0,CCOC(=O)C1=C(C)N=C(N)N(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,6.8
CHEMBL2095229,CACNA1C,CHEMBL84906,,2.7,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1cccc([N+](=O)[O-])c1Cl,8.57
CHEMBL2095229,CACNA1C,CHEMBL315839,,280.0,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1cccc(C(F)(F)F)c1,6.55
CHEMBL2095229,CACNA1C,CHEMBL88191,,100.0,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OC)C1c1cccc([N+](=O)[O-])c1,7.0
CHEMBL2095229,CACNA1C,CHEMBL89260,,1.7,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,8.77
CHEMBL2095229,CACNA1C,CHEMBL315298,,17.0,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1ccccc1Cl,7.77
CHEMBL2095229,CACNA1C,CHEMBL89904,,3.6,IC50,0,CCO/C(O)=C1\C(C)=NC(=S)N(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,8.44
CHEMBL2095229,CACNA1C,CHEMBL313446,,88.0,IC50,0,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1cccc(Cl)c1,7.06
CHEMBL2095229,CACNA1C,CHEMBL427215,,8600.0,IC50,0,COc1ccc([C@H](CN(C)C)[Si]2(O)CCCCC2)cc1,5.07
CHEMBL2095229,CACNA1C,CHEMBL210514,,145.0,Ki,0,COc1nc(NCCCN2CCOCC2)nc(OC)c1NC(=O)c1ccc(Oc2cc3c(cc2C)CCC3(C)C)o1,6.84
CHEMBL2095229,CACNA1C,CHEMBL534723,,730.0,IC50,0,CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1.Cl,6.14
CHEMBL1980,SCN5A,CHEMBL387671,,4000.0,IC50,0,c1ccc2c(CCO[C@@H]3CCCC[C@H]3N3CCOCC3)cccc2c1,5.4
CHEMBL1980,SCN5A,CHEMBL652,FLECAINIDE,6500.0,IC50,1,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,5.19
CHEMBL1980,SCN5A,CHEMBL1294,QUINIDINE,6900.0,IC50,1,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,5.16
CHEMBL1940,CACNA1C,CHEMBL247828,,3500.0,IC50,0,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21,5.46
CHEMBL1940,CACNA1C,CHEMBL247829,,1725.0,IC50,0,CC(C)N1C(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21,5.76
CHEMBL1980,SCN5A,CHEMBL250699,,7440.0,IC50,0,COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,5.13
CHEMBL1980,SCN5A,CHEMBL495601,,1000.0,IC50,0,O=C1CC2(CCN(C(=O)NC3CCc4ccccc4C3)CC2)Oc2ccccc21,6.0
CHEMBL1980,SCN5A,CHEMBL521211,,4600.0,IC50,0,O=C(c1ccc(-c2ccc(Cl)cc2)o1)N1CCNCC1,5.34
CHEMBL1980,SCN5A,CHEMBL486495,,100.0,IC50,0,CC(C)(C)c1ccc(-c2ccc(C(=O)N3CCN(C4CCCCC4)CC3)o2)cc1,7.0
