compound_chembl_id,compound_name,canonical_smiles,gene_symbol,tissue,is_approved_drug,pchembl_value,X
CHEMBL2205556,,CCCCc1sc(-c2ccc(Oc3ccc(Cl)cc3)cc2)nc1-c1ccc(OCCCN(CC)CC)cc1,AGER,lung,0,5.95,-0.1810716968740386
CHEMBL3235049,,CCCCOc1cc(OCCCN(CC)CC)ccc1NC(=O)c1cc(-c2ccc(OC3CCCCC3)cc2)nn1C,AGER,lung,0,5.6,-0.5601928312654747
CHEMBL3235050,,CCCCOc1cc(OCCCN(CC)CC)ccc1NC(=O)c1cc(-c2ccc(Oc3ccccc3)cc2)nn1C,AGER,lung,0,5.27,-0.6543477078291356
CHEMBL3235052,,CCCCOc1cc(OCCCN(CC)CC)ccc1NC(=O)c1cc(-c2ccc(Oc3ccc(OC)cc3)cc2)nn1C,AGER,lung,0,5.11,-0.4058337647269425
CHEMBL3235374,,CCCCOc1cc(OCCCN(CC)CC)ccc1NC(=O)c1cc(-c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)nn1C,AGER,lung,0,5.72,-0.0783347292255289
CHEMBL3235375,,CCCCOc1cc(OCCCN(CC)CC)ccc1NC(=O)c1cc(-c2ccc(Oc3ccc(F)cc3)cc2)nn1C,AGER,lung,0,5.72,-0.18339451027427833
CHEMBL3235378,,CCCCOc1cc(OCCCN(CC)CC)ccc1NC(=O)c1cc(-c2ccc(Oc3ccc(Cl)c(OC)c3)cc2)nn1C,AGER,lung,0,5.28,-0.17159345946688984
CHEMBL4085254,,CC1NC(NCCC[C@H](N)C(=O)O)=NC1=O,AGER,lung,0,7.52,-1.2282765253984032
CHEMBL286204,QUINOLINIC ACID,O=C(O)c1cccnc1C(=O)O,AGER,lung,0,7.37,-0.23749878180570572
CHEMBL3989929,AZELIRAGON,CCCCc1nc(-c2ccc(OCCCN(CC)CC)cc2)cn1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,1,6.3,-0.1420643910534671
CHEMBL4075936,,O=C(c1ccc(Cl)cc1)N(Cc1ccccc1)C1CCCCC1,AGER,lung,0,7.6,-0.8086675739943673
CHEMBL4095634,,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1NC(=O)[C@H](N)Cc1ccc2ccccc2c1,AGER,lung,0,5.76,-1.0338350622205903
CHEMBL4066660,,O=C(c1ccc(F)cc1)N(Cc1ccccc1)C1CCCCC1,AGER,lung,0,7.82,-0.7892970009536981
CHEMBL4101927,,COc1cc(NC(C)=O)c(Cl)cc1C(=O)Nc1nccs1,AGER,lung,0,9.52,1.2184668507268295
CHEMBL1463447,,COc1cc(SC)ccc1C(=O)Nc1cccc(C)n1,AGER,lung,0,8.22,-0.09561505718000628
CHEMBL4063929,,COC(=O)c1cc(O)c(O)cc1NC(=O)C1Oc2ccccc2OC1C,AGER,lung,0,8.7,-0.4204526985118159
CHEMBL1547178,,Cc1c(Cl)cccc1NC(=O)CNC(=O)c1ccccc1F,AGER,lung,0,7.5,-0.08391604729166348
CHEMBL4077165,,Oc1cccc(Nc2nc(-c3ccc(F)cc3F)cs2)c1,AGER,lung,0,9.0,0.19632643082341808
CHEMBL4100986,,CC1=NN(c2nc3ccccc3[nH]2)C(=O)C1CCC(C)C,AGER,lung,0,8.52,-1.0984936167989459
CHEMBL1477694,,Cc1nc2ccccc2n1CC(O)Cn1c2ccccc2c2ccccc21,AGER,lung,0,9.0,-0.7593939815716285
CHEMBL4075539,,Cn1c(=O)n(CC(O)Cn2c3ccccc3c3ccccc32)c2ccccc21,AGER,lung,0,8.4,-0.7988318525873014
CHEMBL4072531,,OC(Cn1ccc2ccccc21)Cn1cnc2ccccc21,AGER,lung,0,8.7,-0.3970397229438309
CHEMBL5200484,,O=C(c1ccc([18F])cc1)N(Cc1ccccc1)C1CCCCC1,AGER,lung,0,7.82,-0.7892970009536981
CHEMBL5176926,,Oc1cccc(Nc2nc(-c3ccc([18F])cc3F)cs2)c1,AGER,lung,0,9.0,0.19632643082341808
CHEMBL5170867,,CCCCn1nc(C2CCN(CCCCc3c[nH]c4ccc(C#N)cc34)CC2)cc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.38,-1.1554936610356423
CHEMBL5203206,,CCCCc1sc(C2CCN(CCCCc3cn(C)c4ccc(C#N)cc34)CC2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.08,-0.2573920359537227
CHEMBL5191418,,CCc1nc(C2CCN(CCCCc3c[nH]c4ccc(C#N)cc34)CC2)cn1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.46,-0.8160869225903286
CHEMBL5175011,,N#Cc1ccc2[nH]cc(CCCCN3CCC(c4cn(-c5ccc(Oc6ccc(Cl)cc6)cc5)c(C5CCC5)n4)CC3)c2c1,AGER,lung,0,5.08,-0.7738862832340859
CHEMBL5194592,,CCCCc1nc(C2CCN(Cc3c[nH]c4ccc(C#N)cc34)CC2)cn1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.39,-0.7972064637085712
CHEMBL5180815,,CCCCCc1nc(C2CCN(CCCCc3cn(C)c4ccc(C#N)cc34)CC2)cn1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,5.22,-0.21428110217028173
CHEMBL1335502,,COc1ccccc1-c1cc(C(F)(F)F)nc(N2CCOCC2)n1,AGER,lung,0,9.26,0.27394305316774964
CHEMBL5815349,,COC(=O)c1cc(OC)c(OC)cc1NC(=O)C1Oc2ccccc2OC1C,AGER,lung,0,8.7,-0.22375932089423986
CHEMBL6043937,,Oc1ccc(NCc2ccc(Br)cc2)cc1,AGER,lung,0,8.85,-0.4980973434279608
CHEMBL5996836,,CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,AGER,lung,0,5.0,0.7191327107172333
CHEMBL5903550,,COc1ccccc1-c1cc(C(F)(F)F)nc(NC2CCCCC2)n1,AGER,lung,0,5.0,0.027517919279574993
CHEMBL5800273,,COc1ccccc1-c1cc(C(F)(F)F)nc(N2CCN(c3ccccc3OC)CC2)n1,AGER,lung,0,5.0,0.12207655005408909
CHEMBL5812329,,C=CCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,AGER,lung,0,8.19,0.32408006493770075
CHEMBL6022471,,Cc1ccc(S(=O)(=O)N(C)C(F)F)cc1,AGER,lung,0,6.3,0.3243544895906825
CHEMBL1342645,,Cc1cc2n(c1)CCn1c(C)ccc1-2,AGER,lung,0,8.92,-0.009370044904042666
CHEMBL6008871,,OC(Cn1ccnc1)Cn1c2ccccc2c2ccccc21,AGER,lung,0,7.12,-0.6999910149454243
CHEMBL6047793,,CN(Cc1ccccc1)CC(O)Cn1cnc2ccccc21,AGER,lung,0,5.0,-0.7229115720725833
CHEMBL5837900,,N#Cc1ccc(OCC(O)Cn2cnc3ccccc32)cc1,AGER,lung,0,5.0,-0.33114255580272656
CHEMBL6026172,,O=C(O)COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,AGER,lung,0,5.0,-0.1203128422453337
CHEMBL1705167,,OC(COCc1ccccc1)Cn1cnc2ccccc21,AGER,lung,0,5.0,-0.6800351453902949
CHEMBL5764678,,OC(COc1cccc2ccccc12)Cn1cnc2ccccc21,AGER,lung,0,5.0,-0.5825973582904823
CHEMBL1306807,,OC(CN(c1ccccc1)c1ccccc1)Cn1cnc2ccccc21,AGER,lung,0,5.0,-0.44731582209311943
CHEMBL6024523,,O=C(O)c1ccccc1OCC(O)Cn1cnc2ccccc21,AGER,lung,0,5.0,-0.6010797029228941
CHEMBL5834491,,CC1=NN(c2nc3ccccc3s2)C(=O)C1CCC(C)C,AGER,lung,0,5.0,-0.8113463274478839
CHEMBL5863716,,OC(COc1ccccc1)Cn1cnc2ccccc21,AGER,lung,0,5.0,-0.47792942708548414
CHEMBL1566222,,Cc1nccn1CC(O)Cn1c2ccccc2c2ccccc21,AGER,lung,0,7.11,-0.6154318065259509
CHEMBL5996265,,CCCCc1nc(-c2ccc(OCCC(=O)O)cc2)cn1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,6.66,-0.5271184565392583
CHEMBL5752083,,CCCCc1nc(-c2ccc(OCCCNCC)cc2)cn1Cc1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,7.65,-0.3765327039799938
CHEMBL5741459,,CCCCc1nc(-c2ccc(O)cc2)cn1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,6.59,-0.48596943943029036
CHEMBL5753345,,CCCCc1nc(-c2ccc(OCCCN(CC)CC)cc2)cn1-c1ccc(Oc2ccc(Cl)cc2O)cc1,AGER,lung,0,8.01,-0.3587575088339581
CHEMBL5795267,,CCCCc1nc(-c2ccc(OCCCN(CC)CC)cc2)cn1-c1ccc(Oc2ccc(Cl)c(O)c2)cc1,AGER,lung,0,8.01,-0.28849683565328965
CHEMBL5747024,,CCCCc1nc(-c2ccc(OCCCO)cc2)cn1-c1ccc(Oc2ccc(Cl)cc2)cc1,AGER,lung,0,7.0,-0.27976126209347135
CHEMBL343771,,COc1ccc(CCNC2CCCC(C(C#N)(c3ccc(OC)c(OC)c3)C(C)C)C2)cc1OC,CACNA1C,heart,0,6.27,-0.4981227204739138
CHEMBL138302,,COc1ccc(CCN(C)C2CCCC(C(C#N)(c3ccc(OC)c(OC)c3)C(C)C)C2)cc1OC,CACNA1C,heart,0,6.41,-0.4792476159849686
CHEMBL6966,VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CACNA1C,heart,1,6.82,-0.5157974541949555
CHEMBL1099207,,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,10.34,-0.7883535836205772
CHEMBL285868,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCCCCCCCCCCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,10.3,-0.8615877946526344
CHEMBL35123,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,9.41,-0.7925419709987669
CHEMBL286157,,CCCCCCCCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,11.0,-0.9105018533601815
CHEMBL286598,,CCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCCO/C(O)=C2\C(C)=NC(C)=C(C(=O)OC(C)C)C2c2cccc([N+](=O)[O-])c2)C1c1ccc([N+](=O)[O-])cc1,CACNA1C,heart,0,10.77,-0.9534025654042028
CHEMBL35368,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCCCCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,10.35,-0.8615877946526344
CHEMBL37899,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCCCCCCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,10.52,-0.8615877946526344
CHEMBL37402,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,10.66,-0.8601750051877817
CHEMBL475534,NITRENDIPINE,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,1,9.82,-0.7561248535812101
CHEMBL204616,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCCCCCCCCCCOC(=O)C2=C(C)N=C(C)/C(=C(/O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,10.48,-0.8615877946526344
CHEMBL441428,,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],CACNA1C,heart,0,10.82,-0.9812122689580006
CHEMBL105444,,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1,CACNA1C,heart,0,9.6,-0.999153412480466
CHEMBL318521,,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccc(Cl)cc1,CACNA1C,heart,0,8.55,-0.6389325292967253
CHEMBL103806,,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1C(F)(F)F,CACNA1C,heart,0,10.57,-0.780505580585695
CHEMBL321999,,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1cccc(C(F)(F)F)c1,CACNA1C,heart,0,9.85,-0.5472685289914728
CHEMBL319033,,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccc(F)cc1,CACNA1C,heart,0,8.82,-0.6195619562560563
CHEMBL317044,,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1cccc(C#N)c1,CACNA1C,heart,0,10.89,-0.7587804922346898
CHEMBL102498,,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1cccc(OC)c1,CACNA1C,heart,0,8.64,-0.8453085489469163
CHEMBL3392285,,CCOC(=O)C1=C(C)NC(SC)=NC1c1ccccc1C(F)(F)F,CACNA1C,heart,0,7.46,-0.7458957597141178
CHEMBL88149,,CCOC(=O)C1=C(C)N=C(OC)NC1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,6.98,-0.6520860248174616
CHEMBL3392281,,CCC(C)OC(=O)C1=C(C)NC(SC)=NC1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,8.59,-0.7717716423007867
CHEMBL39925,,CCOC(=O)C1=C(C)NC(SC)=NC1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,7.64,-0.6857640783473954
CHEMBL3392278,,CCOC(=O)C1=C(C)NC(N(C)C)=NC1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,5.47,-0.46839543583658494
CHEMBL2398396,,CSC1=NC(c2cccc([N+](=O)[O-])c2)C(C(=O)OC(C)C)=C(C)N1,CACNA1C,heart,0,7.92,-0.6506522463746555
CHEMBL282279,,COC(=O)C1=C(C)N=C(SC)NC1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,6.92,-0.4815510414993772
CHEMBL158853,,CO/C(O)=C1\C(C)=Nc2ccccc2SC1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,6.44,-0.498770162184809
CHEMBL345843,,COC(=O)C1=C(C)N(CCN(C)C)c2ccccc2SC1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,6.31,-0.6010957158518749
CHEMBL539426,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(-c2ccccc2)noc1CCc1cccc(OC)c1,CACNA1C,heart,0,7.4,-1.079174359644154
CHEMBL325811,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(-c2ccccc2)noc1CCc1cccc(Br)c1,CACNA1C,heart,0,8.16,-1.0438565444702068
CHEMBL104455,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1cccc2ccccc12,CACNA1C,heart,0,8.39,-1.2851363128417599
CHEMBL317651,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1ccc2ccccc2c1,CACNA1C,heart,0,7.7,-0.9965487399161614
CHEMBL104082,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1ccc(-c2ccccc2)cc1,CACNA1C,heart,0,7.74,-1.1396906083104739
CHEMBL323782,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1ccccc1,CACNA1C,heart,0,7.64,-1.0803008073632927
CHEMBL107213,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(-c2ccccc2)noc1CCc1ccccc1,CACNA1C,heart,0,7.14,-1.1438596113422232
CHEMBL105893,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CCc1ccccc1-c1ccccc1,CACNA1C,heart,0,7.04,-1.1412974931842033
CHEMBL2114104,,[2H]C1(c2c(C)noc2C)C(C(=O)OCC)=C(C)NC(C)=C1C(=O)OCC,CACNA1C,heart,0,7.54,-0.5320354897593913
CHEMBL73647,,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1c(C)noc1C,CACNA1C,heart,0,6.76,-0.4719014542372605
CHEMBL305903,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(-c2ccccc2)noc1C,CACNA1C,heart,0,7.66,-0.9710905768876369
CHEMBL75770,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(-c2ccccc2)noc1C(C)C,CACNA1C,heart,0,6.59,-1.1188718705679561
CHEMBL72717,,CCCCCc1onc(-c2ccccc2)c1C1C(C(=O)OCC)=C(C)N=C(C)/C1=C(/O)OCC,CACNA1C,heart,0,7.11,-1.1510337766382797
CHEMBL72620,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1CC,CACNA1C,heart,0,7.2,-0.6928754057115052
CHEMBL74944,,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1c(C)noc1C,CACNA1C,heart,0,7.48,-0.6941571632169573
CHEMBL2092901,,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,8.7,-0.8747356233402398
CHEMBL88449,,CCO/C(O)=C1\C(C)=NC(=S)N(C(=O)N(C)C)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,6.57,-0.8226604067040777
CHEMBL3392282,,CCOC(=O)C1=C(C)NC(SCC)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,8.4,-0.8881745063550064
CHEMBL3392280,,CCOC(=O)C1=C(C)NC(OCC)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,7.58,-0.6458162558105439
CHEMBL440695,,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,7.77,-0.67318554883688
CHEMBL87921,,CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1ccccc1C(F)(F)F,CACNA1C,heart,0,7.58,-0.634088582911474
CHEMBL261982,,CCCN1C(S)=NC(C)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,CACNA1C,heart,0,7.3,-0.6918680856665748
CHEMBL267014,L-745870,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,CACNA1C,heart,0,5.05,-0.306273933129866
CHEMBL106610,,Cc1ccc(C(=O)NC(=N)NCCCCCc2ccccc2)cc1,SCN5A,heart,0,5.44,-1.2771738326451327
CHEMBL110572,,N=C(NCCCCc1ccccc1)NC(=O)c1cccc2ccccc12,SCN5A,heart,0,5.39,-1.352771168667949
CHEMBL432963,,CCCC/N=C(/N)NC(=O)c1ccc(C)cc1,SCN5A,heart,0,5.05,-0.6427085029896795
CHEMBL109012,,N=C(NCCCCc1ccccc1)NC(=O)c1cccc(Cl)c1Cl,SCN5A,heart,0,5.57,-0.9107404333465529
CHEMBL431643,,N=C(NCCCCc1ccccc1)NC(=O)c1cc(Cl)ccc1Cl,SCN5A,heart,0,5.1,-0.794446957536854
CHEMBL105929,,Cc1ccc(C(=O)N/C(N)=N\c2ccccc2C(C)C)cc1,SCN5A,heart,0,5.35,-0.6894520841198605
CHEMBL108347,,CCCCOc1ccc(C(=O)NC(=N)NCCCCc2ccccc2)cc1,SCN5A,heart,0,6.25,-1.3406756762415375
CHEMBL107354,,Cc1ccc(C(=O)NC(=N)NCCc2ccccc2)cc1,SCN5A,heart,0,5.25,-1.1107487586757339
CHEMBL108782,,Cc1ccc(C(=O)NC(=N)NCCCOc2ccccc2)cc1,SCN5A,heart,0,5.25,-1.0049189502101432
CHEMBL106459,,Cc1ccccc1C(=O)NC(=N)NCCCCc1ccccc1,SCN5A,heart,0,5.76,-1.2637112343874204
CHEMBL108627,,Cc1ccc(C(=O)NC(=N)NCc2cccc3ccccc23)cc1,SCN5A,heart,0,5.05,-0.9630155666638303
CHEMBL110164,,COc1cc(C(=O)NC(=N)NCCCCc2ccccc2)cc(OC)c1OC,SCN5A,heart,0,5.82,-1.242144273161122
CHEMBL322599,,N=C(NCCCCc1ccccc1)NC(=O)c1ccc(Cl)cc1,SCN5A,heart,0,5.44,-1.0075062788678002
CHEMBL322055,,C/N=C(\NCCCCc1ccccc1)NC(=O)c1ccc(C)cc1,SCN5A,heart,0,5.05,-1.206104188576258
CHEMBL110352,,N=C(NCCCCc1ccccc1)NC(=O)c1c(Cl)cccc1Cl,SCN5A,heart,0,5.27,-0.968715727954515
CHEMBL421032,,COc1ccc2[nH]cc(CC/N=C(/N)NC(=O)c3ccc(C)cc3)c2c1,SCN5A,heart,0,5.75,-1.0961031203892553
CHEMBL105997,,Cc1ccc(C(=O)NC(=N)NCCCc2ccccc2)cc1,SCN5A,heart,0,5.28,-1.2037674953065085
CHEMBL320332,,Cc1ccc(C(=O)NC(=N)NCCc2ccc(Cl)cc2)cc1,SCN5A,heart,0,5.07,-0.6529647727335709
CHEMBL106351,,Cc1ccc(C(=O)NC(=N)Nc2ccc(OC(C)C)cc2)cc1,SCN5A,heart,0,5.24,-0.7207816843940232
CHEMBL320314,,COc1cccc2[nH]cc(CC/N=C(/N)NC(=O)c3ccc(C)cc3)c12,SCN5A,heart,0,5.41,-1.1952695505046858
CHEMBL321883,,COc1ccc(C(=O)NC(=N)NCCCCc2ccccc2)cc1,SCN5A,heart,0,5.68,-1.314217264218862
CHEMBL108361,,N=C(NCCCCc1ccccc1)NC(=O)c1cccs1,SCN5A,heart,0,5.63,-0.9938439964504716
CHEMBL108728,,Cc1ccc(C(=O)NC(=N)NCCCCc2ccccc2)cc1,SCN5A,heart,0,5.54,-1.2757610431802793
CHEMBL108727,,CCOc1ccc(C(=O)NC(=N)NCCCCc2ccccc2)cc1,SCN5A,heart,0,5.96,-1.2444599643672287
CHEMBL109127,,N=C(NCCCCc1ccccc1)NC(=O)c1ccco1,SCN5A,heart,0,5.1,-1.1973948453969778
CHEMBL3392229,,CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12,CACNA1C,heart,0,6.57,-1.1226092118671955
CHEMBL3392227,,CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccccc1,CACNA1C,heart,0,6.6,-1.008483733828901
CHEMBL3392230,,CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccc2ccccc2c1,CACNA1C,heart,0,7.0,-0.712654359424608
CHEMBL279029,,COC(=O)C1=C(C)N=C(SC)NC1c1ccccc1SC,CACNA1C,heart,0,5.82,-0.83743231092704
CHEMBL25763,,CSC1=NC2/C(=C(/O)OCCCCCSc3ccc([N+](=O)[O-])cc32)C(C)=N1,CACNA1C,heart,0,6.06,-0.06289881538708741
CHEMBL23451,,COC(=O)C1=C(C)N=C(SC)NC1c1cc([N+](=O)[O-])ccc1SC,CACNA1C,heart,0,5.57,-0.5012466583172718
CHEMBL280926,,COC(=O)C1=C(C)N=C(SC)NC1c1cccc([N+](=O)[O-])c1SC,CACNA1C,heart,0,7.52,-0.6688593559710172
CHEMBL23692,,CSC1=NC2/C(=C(/O)OCCCCCSc3c2cccc3[N+](=O)[O-])C(C)=N1,CACNA1C,heart,0,8.3,-0.3594367529906001
CHEMBL193,NIFEDIPINE,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CACNA1C,heart,1,9.4,-0.7055502868976207
CHEMBL283013,,CO/C(O)=C1\C(C)=NC(C)=C([N+](=O)[O-])[C@H]1c1ccccc1C(F)(F)F,CACNA1C,heart,0,7.75,-0.368122192086773
CHEMBL282706,,CSC1=NC2/C(=C(/O)OCCCCCSc3ccccc32)C(C)=N1,CACNA1C,heart,0,7.75,-0.42722009971425656
