Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Relaxin signaling pathway	14/129	6.753059e-05	1.242563e-03	0	0	3.742603e+00	3.593996e+01	SMAD2;TGFB1;MMP2;ARRB2;FOS;RXFP1;GNG11;GNAI1;COL1A1;COL3A1;COL1A2;PLCB4;COL4A3;PLCB1
KEGG_2021_Human	Hematopoietic cell lineage	12/99	7.575723e-05	1.306812e-03	0	0	4.233033e+00	4.016292e+01	CSF1R;HLA-DRB5;CD4;ITGAM;CR1;MME;ANPEP;IL1B;KIT;CD37;CD14;ITGA5
KEGG_2021_Human	Antigen processing and presentation	10/78	1.860662e-04	2.861907e-03	0	0	4.503268e+00	3.868041e+01	CD74;HLA-DRB5;CD4;HSPA5;CALR;IFI30;HSPA1B;TAPBP;HSPA1A;LGMN
KEGG_2021_Human	Rheumatoid arthritis	11/93	1.866461e-04	2.861907e-03	0	0	4.111404e+00	3.530173e+01	HLA-DRB5;CXCL8;TGFB1;ATP6AP1;IL1B;ITGB2;CCL3;FOS;ITGAL;ATP6V0D1;CXCL5
KEGG_2021_Human	Tuberculosis	15/180	6.995404e-04	1.016175e-02	0	0	2.792000e+00	2.028412e+01	CD74;HLA-DRB5;TGFB1;ITGAM;CR1;FCER1G;ATP6AP1;IL10RA;ITGB2;FCGR2A;LAMP1;IL1B;CD14;ATP6V0D1;CTSD
KEGG_2021_Human	Human cytomegalovirus infection	17/225	9.655060e-04	1.332398e-02	0	0	2.512532e+00	1.744416e+01	CCR1;CXCL8;PTGER2;IL10RA;CCL4L2;GNG11;GNAI1;TAPBP;PLCB4;CDK6;IL1B;CXCR2;CCL4;RAC2;CCL3;CALR;PLCB1
KEGG_2021_Human	Neutrophil extracellular trap formation	15/189	1.151772e-03	1.513758e-02	0	0	2.646345e+00	1.790637e+01	FGA;ITGAM;CR1;SELPLG;AQP9;C5AR1;ITGB2;FPR1;FPR2;ITGAL;PLCB4;FCGR2A;H3C11;RAC2;PLCB1
KEGG_2021_Human	Glutathione metabolism	7/57	2.193566e-03	2.751928e-02	0	0	4.270774e+00	2.614665e+01	GSTM3;HPGDS;G6PD;GSTM1;ANPEP;GSTT1;PGD
KEGG_2021_Human	Leishmaniasis	8/77	3.178856e-03	3.702336e-02	0	0	3.538984e+00	2.035352e+01	HLA-DRB5;ITGAM;CR1;TGFB1;FCGR2A;IL1B;ITGB2;FOS
KEGG_2021_Human	Rap1 signaling pathway	15/210	3.219423e-03	3.702336e-02	0	0	2.358769e+00	1.353592e+01	CSF1R;ITGAM;ANGPT2;ITGB2;FPR1;ITGAL;THBS1;GNAI1;FGF7;PLCB4;KIT;RAC2;TLN1;PLCB1;RAPGEF5
KEGG_2021_Human	Protein processing in endoplasmic reticulum	13/171	3.479271e-03	3.841115e-02	0	0	2.519795e+00	1.426439e+01	VCP;HSPA5;PRKCSH;SVIP;PDIA4;SEC61A1;GANAB;HYOU1;CALR;P4HB;CRYAB;HSPA1B;HSPA1A
KEGG_2021_Human	Focal adhesion	14/201	5.415789e-03	5.615011e-02	0	0	2.292990e+00	1.196582e+01	ACTN1;FN1;TNC;ARHGAP5;THBS1;COL1A1;COL1A2;COL4A3;RAC2;ZYX;FLNA;COL6A3;ITGA5;TLN1
KEGG_2021_Human	Renin-angiotensin system	4/23	5.665675e-03	5.615011e-02	0	0	6.402185e+00	3.312061e+01	CPA3;CTSA;MME;ANPEP
KEGG_2021_Human	Protein digestion and absorption	9/103	5.783132e-03	5.615011e-02	0	0	2.923323e+00	1.506333e+01	CPA3;COL1A1;COL3A1;COL1A2;SLC7A7;MME;COL4A3;SLC1A1;COL6A3
KEGG_2021_Human	Diabetic cardiomyopathy	14/203	5.899830e-03	5.615011e-02	0	0	2.268489e+00	1.164377e+01	SMAD2;G6PD;TGFB1;NDUFA5;MMP2;COL1A1;COL3A1;COL1A2;PLCB4;PLN;RAC2;PLCB1;CTSD;GAPDH
KEGG_2021_Human	ECM-receptor interaction	8/88	7.162249e-03	6.589269e-02	0	0	3.050633e+00	1.506687e+01	COL1A1;COL1A2;COL4A3;TNC;FN1;COL6A3;ITGA5;THBS1
KEGG_2021_Human	Coronavirus disease	15/232	7.972460e-03	7.098061e-02	0	0	2.117198e+00	1.022980e+01	C1QB;C1QA;FGA;CXCL8;C1R;MX2;C5AR1;RPS3A;FOS;C4B;FCGR2A;IL1B;C3AR1;CFB;C1QC
KEGG_2021_Human	Chemical carcinogenesis	15/239	1.031488e-02	8.896586e-02	0	0	2.050286e+00	9.378350e+00	GSTM3;GSTM1;UGT2B11;MIR29C;GSTT1;FOS;ARRB2;CYP3A5;GNAI1;MIRLET7F1;FGF7;HPGDS;CYP1B1;KPNA5;KPNA2
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	7/76	1.080119e-02	9.033722e-02	0	0	3.091719e+00	1.399961e+01	GSTM3;HPGDS;UGT2B11;GSTM1;CYP1B1;GSTT1;CYP3A5
KEGG_2021_Human	Mineral absorption	6/60	1.215210e-02	9.582803e-02	0	0	3.383456e+00	1.492190e+01	MT2A;MT1A;MT1F;MT1G;HMOX1;MT1X
KEGG_2021_Human	Viral myocarditis	6/60	1.215210e-02	9.582803e-02	0	0	3.383456e+00	1.492190e+01	HLA-DRB5;CXADR;ITGB2;RAC2;ITGAL;EIF4G1
KEGG_2021_Human	Circadian entrainment	8/97	1.256941e-02	9.636546e-02	0	0	2.740862e+00	1.199535e+01	GUCY1A2;PLCB4;PER3;FOS;PLCB1;GNG11;PRKG1;GNAI1
KEGG_2021_Human	ABC transporters	5/45	1.404422e-02	1.047623e-01	0	0	3.803150e+00	1.622250e+01	ABCA10;ABCA5;ABCA9;ABCA8;ABCG2
KEGG_2021_Human	Pentose phosphate pathway	4/30	1.470564e-02	1.068094e-01	0	0	4.676826e+00	1.973398e+01	GPI;G6PD;PGD;TKT
KEGG_2021_Human	Inflammatory bowel disease	6/65	1.755552e-02	1.242390e-01	0	0	3.095920e+00	1.251491e+01	SMAD2;HLA-DRB5;TGFB1;IL1B;IL2RG;IL18R1
KEGG_2021_Human	Glycolysis / Gluconeogenesis	6/67	2.011589e-02	1.363643e-01	0	0	2.994105e+00	1.169571e+01	GPI;HK3;TPI1;PKM;ENO1;GAPDH
KEGG_2021_Human	Taste transduction	7/86	2.025702e-02	1.363643e-01	0	0	2.698962e+00	1.052394e+01	TAS2R50;PLCB4;TAS2R20;TAS2R31;TAS2R14;PLCB1;TAS2R19
KEGG_2021_Human	Gap junction	7/88	2.267806e-02	1.471059e-01	0	0	2.632048e+00	9.965875e+00	GUCY1A2;PLCB4;TUBB;PLCB1;TUBB4B;PRKG1;GNAI1
KEGG_2021_Human	Renin secretion	6/69	2.291867e-02	1.471059e-01	0	0	2.898753e+00	1.094512e+01	GUCY1A2;PLCB4;PTGER2;CLCA2;PLCB1;GNAI1
KEGG_2021_Human	Pathogenic Escherichia coli infection	12/197	2.506709e-02	1.572390e-01	0	0	1.980547e+00	7.300693e+00	CXCL8;CYTH4;FCGR2A;TUBB;IL1B;MYH9;NCKAP1L;FOS;TUBB4B;GAPDH;MYO1F;MYO1G
KEGG_2021_Human	Systemic lupus erythematosus	9/135	2.965040e-02	1.766030e-01	0	0	2.177270e+00	7.660243e+00	C4B;C1QB;C1QA;HLA-DRB5;FCGR2A;C1R;ACTN1;H3C11;C1QC
KEGG_2021_Human	African trypanosomiasis	4/37	2.976841e-02	1.766030e-01	0	0	3.683438e+00	1.294473e+01	PLCB4;IL1B;PLCB1;IDO1
KEGG_2021_Human	Leukocyte transendothelial migration	8/114	3.007369e-02	1.766030e-01	0	0	2.299260e+00	8.056846e+00	ITGAM;ACTN1;MMP2;ITGB2;RAC2;ARHGAP5;ITGAL;GNAI1
KEGG_2021_Human	Estrogen signaling pathway	9/137	3.216509e-02	1.849492e-01	0	0	2.143027e+00	7.365313e+00	PLCB4;MMP2;FOS;FKBP4;PLCB1;CTSD;GNAI1;HSPA1B;HSPA1A
KEGG_2021_Human	Sphingolipid signaling pathway	8/119	3.741290e-02	2.107339e-01	0	0	2.195119e+00	7.212590e+00	FCER1G;PLCB4;RAC2;MS4A2;PLCB1;CTSD;SGPP2;GNAI1
KEGG_2021_Human	Long-term depression	5/60	4.266846e-02	2.355299e-01	0	0	2.763780e+00	8.717777e+00	GUCY1A2;PLCB4;PLCB1;PRKG1;GNAI1
KEGG_2021_Human	Phospholipase D signaling pathway	9/148	4.865578e-02	2.614913e-01	0	0	1.972306e+00	5.962251e+00	CXCL8;FCER1G;PLCB4;CYTH4;CXCR1;KIT;CXCR2;MS4A2;PLCB1
KEGG_2021_Human	Toll-like receptor signaling pathway	7/104	4.944815e-02	2.614913e-01	0	0	2.196072e+00	6.603216e+00	CXCL8;CCL4L2;IL1B;CCL4;CCL3;CD14;FOS
KEGG_2021_Human	Vasopressin-regulated water reabsorption	4/44	5.147747e-02	2.614913e-01	0	0	3.037736e+00	9.011781e+00	DYNC2LI1;DYNC2H1;ARHGDIA;AQP3
KEGG_2021_Human	Osteoclast differentiation	8/127	5.149703e-02	2.614913e-01	0	0	2.046697e+00	6.070977e+00	CSF1R;SOCS3;TGFB1;FCGR2A;IL1B;FOSB;FOS;SIRPB1
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	7/106	5.378746e-02	2.614913e-01	0	0	2.151483e+00	6.288172e+00	KL;MMP14;PLCB4;ARRB2;FOS;PLCB1;GNAI1
KEGG_2021_Human	Biosynthesis of unsaturated fatty acids	3/27	5.400365e-02	2.614913e-01	0	0	3.794349e+00	1.107458e+01	TECR;ACOT2;ELOVL7
KEGG_2021_Human	Fatty acid elongation	3/27	5.400365e-02	2.614913e-01	0	0	3.794349e+00	1.107458e+01	TECR;ACOT2;ELOVL7
KEGG_2021_Human	Th17 cell differentiation	7/107	5.604363e-02	2.666904e-01	0	0	2.129858e+00	6.137451e+00	SMAD2;HLA-DRB5;CD4;TGFB1;IL1B;FOS;IL2RG
KEGG_2021_Human	Pathways in cancer	24/531	5.743630e-02	2.686851e-01	0	0	1.448782e+00	4.139284e+00	SMAD2;GSTM3;CSF1R;GSTM1;TGFB1;CXCL8;PTGER2;MMP2;FZD6;FN1;GSTT1;FOS;IL2RG;GNG11;GNAI1;FGF7;PLCB4;CDK6;MSH2;KIT;COL4A3;RAC2;HMOX1;PLCB1
KEGG_2021_Human	HIF-1 signaling pathway	7/109	6.073006e-02	2.767006e-01	0	0	2.087879e+00	5.848810e+00	HK3;ANGPT2;SERPINE1;HMOX1;ENO1;TIMP1;GAPDH
KEGG_2021_Human	Dopaminergic synapse	8/132	6.183080e-02	2.767006e-01	0	0	1.963659e+00	5.465556e+00	PLCB4;ARRB2;FOS;PLCB1;GNG11;SLC18A2;GNAI1;SCN1A
KEGG_2021_Human	Other types of O-glycan biosynthesis	4/47	6.284097e-02	2.767006e-01	0	0	2.825362e+00	7.818195e+00	GALNT5;GALNT13;GXYLT1;PLOD3
KEGG_2021_Human	Non-homologous end-joining	2/13	6.315991e-02	2.767006e-01	0	0	5.514107e+00	1.523043e+01	RAD50;MRE11
KEGG_2021_Human	Proteoglycans in cancer	11/205	6.602139e-02	2.840600e-01	0	0	1.727714e+00	4.695540e+00	COL1A1;SMAD2;COL1A2;TGFB1;MMP2;FZD6;FN1;PLAUR;FLNA;ITGA5;THBS1
KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	4/48	6.689820e-02	2.840600e-01	0	0	2.761006e+00	7.467371e+00	CHIT1;GPI;HK3;FPGT
KEGG_2021_Human	TNF signaling pathway	7/112	6.819715e-02	2.851881e-01	0	0	2.027909e+00	5.445652e+00	SOCS3;MMP14;IL1B;FOS;TNFRSF1B;CXCL5;IL18R1
KEGG_2021_Human	Citrate cycle (TCA cycle)	3/30	6.993164e-02	2.873775e-01	0	0	3.372231e+00	8.970934e+00	ACLY;MDH2;OGDH
KEGG_2021_Human	Serotonergic synapse	7/113	7.080316e-02	2.873775e-01	0	0	2.008674e+00	5.318670e+00	CYP4X1;PLCB4;TRPC1;PLCB1;GNG11;SLC18A2;GNAI1
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	5/70	7.333840e-02	2.893077e-01	0	0	2.337371e+00	6.106782e+00	CXCL8;ATP6AP1;CXCR1;CXCR2;ATP6V0D1
KEGG_2021_Human	Yersinia infection	8/137	7.337515e-02	2.893077e-01	0	0	1.887057e+00	4.929314e+00	CD4;CXCL8;FCGR2A;IL1B;FN1;RAC2;FOS;ITGA5
KEGG_2021_Human	Vibrio cholerae infection	4/50	7.540867e-02	2.900299e-01	0	0	2.640689e+00	6.825740e+00	SEC61A1;ATP6AP1;ATP6V0D1;PDIA4
KEGG_2021_Human	Asthma	3/31	7.565998e-02	2.900299e-01	0	0	3.251626e+00	8.394092e+00	HLA-DRB5;FCER1G;MS4A2
KEGG_2021_Human	Fluid shear stress and atherosclerosis	8/139	7.833468e-02	2.961695e-01	0	0	1.858054e+00	4.732026e+00	GSTM3;GSTM1;MMP2;IL1B;RAC2;HMOX1;GSTT1;FOS
KEGG_2021_Human	Human immunodeficiency virus 1 infection	11/212	7.943867e-02	2.962848e-01	0	0	1.666936e+00	4.221964e+00	DDB1;CD4;CUL5;AP1B1;RAC2;CALR;FOS;TNFRSF1B;GNG11;GNAI1;TAPBP
KEGG_2021_Human	IL-17 signaling pathway	6/94	8.095586e-02	2.979176e-01	0	0	2.072555e+00	5.210095e+00	CXCL8;IL1B;LCN2;FOSB;FOS;CXCL5
KEGG_2021_Human	p53 signaling pathway	5/73	8.438187e-02	3.064394e-01	0	0	2.233905e+00	5.523112e+00	CDK6;CD82;SERPINE1;SFN;THBS1
KEGG_2021_Human	Lipid and atherosclerosis	11/215	8.567530e-02	3.070959e-01	0	0	1.642165e+00	4.035112e+00	PLCB4;CXCL8;HSPA5;IL1B;CCL3;CD14;FOS;PLCB1;HSPA1B;MIB1;HSPA1A
KEGG_2021_Human	Fructose and mannose metabolism	3/33	8.770959e-02	3.103570e-01	0	0	3.034537e+00	7.385225e+00	HK3;TPI1;FPGT
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	4/53	8.913875e-02	3.114215e-01	0	0	2.478629e+00	5.992238e+00	KL;PLCB4;AP2A1;PLCB1
KEGG_2021_Human	MAPK signaling pathway	14/294	9.122210e-02	3.147162e-01	0	0	1.523962e+00	3.649062e+00	CSF1R;TGFB1;ANGPT2;HSPB1;FOS;ARRB2;FGF7;IL1B;KIT;RAC2;FLNA;CD14;HSPA1B;HSPA1A
KEGG_2021_Human	Influenza A	9/172	1.016009e-01	3.461956e-01	0	0	1.679805e+00	3.841216e+00	SOCS3;IL33;HLA-DRB5;CDK6;CXCL8;IL1B;MX2;KPNA5;KPNA2
KEGG_2021_Human	Salmonella infection	12/249	1.047460e-01	3.525596e-01	0	0	1.541804e+00	3.478646e+00	DYNC2H1;DYNC2LI1;CXCL8;CYTH4;TUBB;IL1B;FLNA;NCKAP1L;CD14;FOS;TUBB4B;GAPDH
KEGG_2021_Human	Fatty acid biosynthesis	2/18	1.116972e-01	3.714267e-01	0	0	3.789969e+00	8.307475e+00	FASN;CBR4
KEGG_2021_Human	NF-kappa B signaling pathway	6/104	1.166334e-01	3.832240e-01	0	0	1.860104e+00	3.996843e+00	CXCL8;CCL4L2;IL1B;CCL4;CD14;CCL19
KEGG_2021_Human	Cellular senescence	8/156	1.282861e-01	4.165526e-01	0	0	1.643175e+00	3.374247e+00	SMAD2;RAD50;MRE11;TGFB1;CDK6;CXCL8;SERPINE1;NBN
KEGG_2021_Human	Drug metabolism	6/108	1.327895e-01	4.261616e-01	0	0	1.786788e+00	3.607507e+00	GSTM3;HPGDS;UGT2B11;GSTM1;GSTT1;CYP3A5
KEGG_2021_Human	Glycine, serine and threonine metabolism	3/40	1.354194e-01	4.296062e-01	0	0	2.459544e+00	4.917561e+00	AOC3;SHMT2;PSAT1
KEGG_2021_Human	Colorectal cancer	5/86	1.413763e-01	4.332479e-01	0	0	1.874113e+00	3.666384e+00	SMAD2;TGFB1;MSH2;RAC2;FOS
KEGG_2021_Human	Cytosolic DNA-sensing pathway	4/63	1.425323e-01	4.332479e-01	0	0	2.057457e+00	4.008309e+00	IL33;CCL4L2;IL1B;CCL4
KEGG_2021_Human	Bladder cancer	3/41	1.428462e-01	4.332479e-01	0	0	2.394696e+00	4.660045e+00	CXCL8;MMP2;THBS1
KEGG_2021_Human	Homologous recombination	3/41	1.428462e-01	4.332479e-01	0	0	2.394696e+00	4.660045e+00	RAD50;MRE11;NBN
KEGG_2021_Human	GnRH secretion	4/64	1.484484e-01	4.370124e-01	0	0	2.023061e+00	3.859025e+00	PLCB4;TRPC1;ARRB2;PLCB1
KEGG_2021_Human	Toxoplasmosis	6/112	1.499455e-01	4.370124e-01	0	0	1.719005e+00	3.261783e+00	HLA-DRB5;TGFB1;IL10RA;GNAI1;HSPA1B;HSPA1A
KEGG_2021_Human	Neomycin, kanamycin and gentamicin biosynthesis	1/5	1.500962e-01	4.370124e-01	0	0	7.572770e+00	1.436160e+01	HK3
KEGG_2021_Human	Apelin signaling pathway	7/137	1.504209e-01	4.370124e-01	0	0	1.635800e+00	3.098725e+00	SMAD2;PLCB4;SERPINE1;PLCB1;GNG11;GNAI1;APLN
KEGG_2021_Human	Measles	7/139	1.584408e-01	4.406355e-01	0	0	1.610848e+00	2.967785e+00	CDK6;IL1B;MX2;FOS;IL2RG;HSPA1B;HSPA1A
KEGG_2021_Human	Glutamatergic synapse	6/114	1.588788e-01	4.406355e-01	0	0	1.686996e+00	3.103422e+00	PLCB4;TRPC1;SLC1A1;PLCB1;GNG11;GNAI1
KEGG_2021_Human	Regulation of actin cytoskeleton	10/218	1.625990e-01	4.406355e-01	0	0	1.461538e+00	2.654838e+00	FGF7;ITGAM;ACTN1;ITGB2;FN1;RAC2;MYH9;NCKAP1L;ITGA5;ITGAL
KEGG_2021_Human	PI3K-Akt signaling pathway	15/354	1.654900e-01	4.406355e-01	0	0	1.346619e+00	2.422359e+00	CSF1R;ANGPT2;FN1;TNC;IL2RG;GNG11;THBS1;COL1A1;FGF7;COL1A2;CDK6;KIT;COL4A3;COL6A3;ITGA5
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	10/219	1.658599e-01	4.406355e-01	0	0	1.454470e+00	2.613117e+00	SMAD2;HLA-DRB5;CD4;TGFB1;ITGB2;CALR;FOS;TLN1;ITGAL;IL2RG
KEGG_2021_Human	Acute myeloid leukemia	4/67	1.667413e-01	4.406355e-01	0	0	1.926425e+00	3.450828e+00	CSF1R;ITGAM;KIT;CD14
KEGG_2021_Human	Protein export	2/23	1.667807e-01	4.406355e-01	0	0	2.886849e+00	5.170564e+00	SEC61A1;HSPA5
KEGG_2021_Human	Shigellosis	11/246	1.669778e-01	4.406355e-01	0	0	1.423232e+00	2.547434e+00	HK3;PLCB4;CXCL8;CYTH4;ACTN1;IL1B;H3C11;CD14;ITGA5;TLN1;PLCB1
KEGG_2021_Human	Prion disease	12/273	1.673339e-01	4.406355e-01	0	0	1.398272e+00	2.499781e+00	C1QB;C1QA;STIP1;HSPA5;NDUFA5;TUBB;IL1B;RAC2;TUBB4B;HSPA1B;C1QC;HSPA1A
KEGG_2021_Human	cGMP-PKG signaling pathway	8/167	1.676331e-01	4.406355e-01	0	0	1.528620e+00	2.730082e+00	GUCY1A2;TRPC6;PLCB4;PLN;PDE5A;PLCB1;PRKG1;GNAI1
KEGG_2021_Human	Hepatocellular carcinoma	8/168	1.714593e-01	4.453494e-01	0	0	1.518987e+00	2.678596e+00	SMAD2;GSTM3;GSTM1;TGFB1;CDK6;FZD6;HMOX1;GSTT1
KEGG_2021_Human	Glycosphingolipid biosynthesis	3/45	1.738001e-01	4.453494e-01	0	0	2.166181e+00	3.790490e+00	B3GALNT1;B3GALT2;NAGA
KEGG_2021_Human	Human papillomavirus infection	14/331	1.772993e-01	4.453494e-01	0	0	1.343476e+00	2.324100e+00	ATP6AP1;MX2;FZD6;FN1;TNC;THBS1;COL1A1;COL1A2;CDK6;PKM;COL4A3;COL6A3;ITGA5;ATP6V0D1
KEGG_2021_Human	Vitamin B6 metabolism	1/6	1.772998e-01	4.453494e-01	0	0	6.057903e+00	1.047964e+01	PSAT1
KEGG_2021_Human	Salivary secretion	5/93	1.774943e-01	4.453494e-01	0	0	1.724409e+00	2.981188e+00	GUCY1A2;PLCB4;DMBT1;PLCB1;PRKG1
KEGG_2021_Human	Type II diabetes mellitus	3/46	1.818152e-01	4.504307e-01	0	0	2.115695e+00	3.606762e+00	HK3;SOCS3;PKM
KEGG_2021_Human	TGF-beta signaling pathway	5/94	1.829179e-01	4.504307e-01	0	0	1.704946e+00	2.896222e+00	SMAD2;ZFYVE16;TGFB1;THBS1;BMP5
KEGG_2021_Human	Central carbon metabolism in cancer	4/70	1.857841e-01	4.504307e-01	0	0	1.838574e+00	3.094633e+00	HK3;G6PD;PKM;KIT
KEGG_2021_Human	Endocytosis	11/252	1.860475e-01	4.504307e-01	0	0	1.387363e+00	2.333203e+00	SMAD2;ZFYVE16;CYTH4;CXCR1;CXCR2;AP2A1;ARRB2;IL2RG;SMAP2;HSPA1B;HSPA1A
KEGG_2021_Human	Carbohydrate digestion and absorption	3/47	1.899271e-01	4.558250e-01	0	0	2.067504e+00	3.434362e+00	HK3;PLCB4;PLCB1
KEGG_2021_Human	Cell adhesion molecules	7/148	1.967936e-01	4.682332e-01	0	0	1.507322e+00	2.450302e+00	HLA-DRB5;CD4;ITGAM;SELPLG;NEGR1;ITGB2;ITGAL
KEGG_2021_Human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	2/26	2.016695e-01	4.757332e-01	0	0	2.525601e+00	4.043803e+00	PGAP1;PIGK
KEGG_2021_Human	Cocaine addiction	3/49	2.064143e-01	4.827995e-01	0	0	1.977408e+00	3.120092e+00	FOSB;SLC18A2;GNAI1
KEGG_2021_Human	Thyroid hormone synthesis	4/75	2.189473e-01	5.059118e-01	0	0	1.708654e+00	2.595317e+00	PLCB4;HSPA5;PLCB1;PDIA4
KEGG_2021_Human	Melanogenesis	5/101	2.224628e-01	5.059118e-01	0	0	1.580052e+00	2.374812e+00	PLCB4;FZD6;KIT;PLCB1;GNAI1
KEGG_2021_Human	Pancreatic cancer	4/76	2.257639e-01	5.059118e-01	0	0	1.684836e+00	2.507483e+00	SMAD2;TGFB1;CDK6;RAC2
KEGG_2021_Human	Longevity regulating pathway	5/102	2.283140e-01	5.059118e-01	0	0	1.563682e+00	2.309611e+00	KL;RB1CC1;CRYAB;HSPA1B;HSPA1A
KEGG_2021_Human	Pancreatic secretion	5/102	2.283140e-01	5.059118e-01	0	0	1.563682e+00	2.309611e+00	CPA3;PLCB4;TRPC1;CLCA2;PLCB1
KEGG_2021_Human	Non-alcoholic fatty liver disease	7/155	2.288929e-01	5.059118e-01	0	0	1.435507e+00	2.116656e+00	SOCS3;TGFB1;CXCL8;NDUFA5;IL1B;LEPR;FOS
KEGG_2021_Human	Riboflavin metabolism	1/8	2.291267e-01	5.059118e-01	0	0	4.326626e+00	6.375198e+00	ACP2
KEGG_2021_Human	Synaptic vesicle cycle	4/78	2.395546e-01	5.247386e-01	0	0	1.639130e+00	2.342274e+00	SLC1A1;AP2A1;ATP6V0D1;SLC18A2
